"","Age","obs","Gender"
"1","0-4",752142,"Male"
"2","5-14",1488690,"Male"
"3","15-19",727677,"Male"
"4","20-25",795423,"Male"
"5","25-35",1663900,"Male"
"6","35-44",1550838,"Male"
"7","45-54",1522123,"Male"
"8","55-64",1341469,"Male"
"9","65-74",1012559,"Male"
"10","75-84",511464,"Male"
"11","> 85",180351,"Male"
"12","0-4",712638,"Female"
"13","5-14",1411140,"Female"
"14","15-19",693915,"Female"
"15","20-25",771369,"Female"
"16","25-35",1704548,"Female"
"17","35-44",1594103,"Female"
"18","45-54",1582887,"Female"
"19","55-64",1412260,"Female"
"20","65-74",1064152,"Female"
"21","75-84",601741,"Female"
"22","> 85",306494,"Female"
