"","LGA","count","Gender","percentage"
"1","10050",24662,"Male",0.482849087634114
"2","10130",14227,"Male",0.483106387313661
"3","10250",20127,"Male",0.4816223977028
"4","10300",1177,"Male",0.514648010494097
"5","10470",20695,"Male",0.501089588377724
"6","10550",16252,"Male",0.488737858238354
"7","10600",6123,"Male",0.483343858541206
"8","10650",4224,"Male",0.499172772394233
"9","10750",167574,"Male",0.497308301826319
"10","10800",2971,"Male",0.498908480268682
"11","10850",3613,"Male",0.497864131183685
"12","10900",37119,"Male",0.482666701341933
"13","10950",1355,"Male",0.50334323922734
"14","11100",23229,"Male",0.497899429845244
"15","11150",1301,"Male",0.493925588458618
"16","11200",849,"Male",0.514233797698365
"17","11250",8615,"Male",0.486503275355771
"18","11300",17785,"Male",0.483169876932272
"19","11350",15197,"Male",0.481588287488909
"20","11400",6692,"Male",0.499925295084417
"21","11450",38336,"Male",0.49011736428955
"22","11500",77002,"Male",0.490439855801689
"23","11520",42348,"Male",0.481145259330796
"24","11570",172327,"Male",0.497620573949905
"25","11600",1421,"Male",0.522618609783008
"26","11650",158768,"Male",0.484438694559035
"27","11700",973,"Male",0.530823786142935
"28","11720",27633,"Male",0.497354211663067
"29","11730",25140,"Male",0.49614177734799
"30","11750",2394,"Male",0.515171078114913
"31","11800",35319,"Male",0.484193353805659
"32","12000",2160,"Male",0.500579374275782
"33","12150",1947,"Male",0.496937212863706
"34","12350",6157,"Male",0.494141252006421
"35","12380",111080,"Male",0.514071242462248
"36","12700",4497,"Male",0.501058495821727
"37","12730",4353,"Male",0.491808835159869
"38","12750",18270,"Male",0.490706918779544
"39","12850",97959,"Male",0.492709375958796
"40","12870",6102,"Male",0.497026960983954
"41","12900",4806,"Male",0.501303848962136
"42","12930",71755,"Male",0.488657799933261
"43","12950",2089,"Male",0.493153918791313
"44","13010",4380,"Male",0.495699411498416
"45","13310",14982,"Male",0.505994798878719
"46","13340",5187,"Male",0.501111003767752
"47","13450",12795,"Male",0.499005499005499
"48","13510",5514,"Male",0.494928641953146
"49","13550",6105,"Male",0.499795333606222
"50","13660",2657,"Male",0.50532521871434
"51","13800",31952,"Male",0.494674263066634
"52","13850",1480,"Male",0.502376103190767
"53","13910",9088,"Male",0.49129635636285
"54","14000",69634,"Male",0.488087644655036
"55","14100",6987,"Male",0.499107079077077
"56","14170",88736,"Male",0.487445273918799
"57","14200",8061,"Male",0.489049323545471
"58","14300",3574,"Male",0.567752184273233
"59","14350",14447,"Male",0.500155790202527
"60","14400",10528,"Male",0.490495713753261
"61","14500",56657,"Male",0.479928506687674
"62","14550",4529,"Male",0.506599552572707
"63","14600",3100,"Male",0.500484339683565
"64","14650",96294,"Male",0.487883224992527
"65","14700",17733,"Male",0.491886494133311
"66","14750",5530,"Male",0.495164756446991
"67","14850",20975,"Male",0.486264054711951
"68","14870",10689,"Male",0.506827880512091
"69","14900",101351,"Male",0.496025958517271
"70","14920",3870,"Male",0.503447378691297
"71","14950",1537,"Male",0.492786149406861
"72","15050",37736,"Male",0.488144363236531
"73","15240",44091,"Male",0.48825620411282
"74","15270",12099,"Male",0.502533643462369
"75","15300",6636,"Male",0.504293639334296
"76","15350",13189,"Male",0.463178226514486
"77","15520",5795,"Male",0.496147260273973
"78","15560",2026,"Male",0.5281543274244
"79","15650",8243,"Male",0.512433171702101
"80","15700",9421,"Male",0.490370601707266
"81","15750",6528,"Male",0.498929990828493
"82","15800",2901,"Male",0.495643259866735
"83","15850",3214,"Male",0.498758535071384
"84","15900",76642,"Male",0.49315685504887
"85","15950",31910,"Male",0.471636761358598
"86","15990",123507,"Male",0.488405476158464
"87","16100",2751,"Male",0.518958687040181
"88","16150",19615,"Male",0.486193733888558
"89","16200",7190,"Male",0.492196056955093
"90","16260",113158,"Male",0.500369225599052
"91","16350",96822,"Male",0.493823508410433
"92","16380",37697,"Male",0.479978100052203
"93","16400",34384,"Male",0.494335499453678
"94","16490",28133,"Male",0.502132900208828
"95","16550",69179,"Male",0.49181714773212
"96","16610",11318,"Male",0.496251150962424
"97","16650",54079,"Male",0.494305509853387
"98","16700",56509,"Male",0.485881584151605
"99","16900",33444,"Male",0.48851884312007
"100","16950",49284,"Male",0.494570998494732
"101","17000",11701,"Male",0.509026841258102
"102","17040",10461,"Male",0.517410228509249
